"","bbb","bgn","bgr","bng","brn","brr","gbb","ggg","gpn","grb","grg","grr","nbg","nrb","oon","rbr","rgn","rnb","rng","rrr","ryn"
"bbb",0,4,14,3,0,2,4,1,1,16,5,2,7,12,0,5,0,2,7,5,2
"bgn",4,0,2,2,2,0,2,5,1,0,1,1,3,2,7,1,1,0,1,0,0
"bgr",14,2,0,1,12,5,2,1,2,1,0,0,6,1,2,3,1,1,1,2,50
"bng",3,2,1,0,0,4,1,6,1,4,13,13,3,8,6,3,1,5,6,5,3
"brn",0,2,12,0,0,2,7,4,0,1,2,1,20,2,1,2,1,2,6,1,1
"brr",2,0,5,4,2,0,11,2,0,4,9,2,4,0,5,0,4,4,6,3,2
"gbb",4,2,2,1,7,11,0,8,2,7,9,5,6,11,10,3,5,8,8,4,5
"ggg",1,5,1,6,4,2,8,0,2,5,8,2,1,6,15,2,1,1,6,3,0
"gpn",1,1,2,1,0,0,2,2,0,0,0,1,0,0,2,2,0,6,0,2,0
"grb",16,0,1,4,1,4,7,5,0,0,6,3,5,3,19,5,2,2,1,2,1
"grg",5,1,0,13,2,9,9,8,0,6,0,1,3,4,8,1,0,1,4,1,0
"grr",2,1,0,13,1,2,5,2,1,3,1,0,2,3,7,1,0,3,1,1,0
"nbg",7,3,6,3,20,4,6,1,0,5,3,2,0,15,13,3,0,0,6,3,59
"nrb",12,2,1,8,2,0,11,6,0,3,4,3,15,0,13,1,0,1,2,4,3
"oon",0,7,2,6,1,5,10,15,2,19,8,7,13,13,0,4,4,8,7,4,2
"rbr",5,1,3,3,2,0,3,2,2,5,1,1,3,1,4,0,5,2,6,3,0
"rgn",0,1,1,1,1,4,5,1,0,2,0,0,0,0,4,5,0,6,4,0,0
"rnb",2,0,1,5,2,4,8,1,6,2,1,3,0,1,8,2,6,0,5,0,0
"rng",7,1,1,6,6,6,8,6,0,1,4,1,6,2,7,6,4,5,0,3,1
"rrr",5,0,2,5,1,3,4,3,2,2,1,1,3,4,4,3,0,0,3,0,0
"ryn",2,0,50,3,1,2,5,0,0,1,0,0,59,3,2,0,0,0,1,0,0
